utility_id_ferc1,plant_name_ferc1,utility_name_ferc1,capacity_mw,plant_table
170,payne creek solar,tampa electric company,70.3,f1_steam
171,units 1-3,alcoa power generating inc.,500.0,f1_steam
176,residential solar,tucson electric power company,2.68,f1_gnrt_plant
176,solon prairie fire,tucson electric power company,4.0,f1_gnrt_plant
176,sundt areva solar thermal,tucson electric power company,5.0,f1_gnrt_plant
176,total solar operation/maintenance,tucson electric power company,0.0,f1_gnrt_plant
186,community solar 40,virginia electric and power company,1.0,f1_gnrt_plant
186,greensville,virginia electric and power company,1588.0,f1_steam
186,hollyfield solar,virginia electric and power company,17.0,f1_steam
186,montross solar,virginia electric and power company,20.0,f1_steam
186,pecan solar,virginia electric and power company,74.9,f1_steam
186,puller solar,virginia electric and power company,15.0,f1_steam
194,forward wind (wpl),wisconsin power and light company,58.7,f1_steam
195,forward,wisconsin public service corporation,61.48,f1_gnrt_plant
195,west marinette total,wisconsin public service corporation,0.0,f1_steam
195,wrpc total,wisconsin public service corporation,0.0,f1_hydro
210,(100 units @ 2.0 mw each),midamerican energy company,0.0,f1_gnrt_plant
210,(170 units @ 2.0 mw each),midamerican energy company,0.0,f1_gnrt_plant
210,(amounts are for the total of all 104 units),midamerican energy company,0.0,f1_gnrt_plant
210,(amounts are for the total of all 125 units),midamerican energy company,0.0,f1_gnrt_plant
210,(amounts are for the total of all 134 units),midamerican energy company,0.0,f1_gnrt_plant
210,(amounts are for the total of all 170 units),midamerican energy company,0.0,f1_gnrt_plant
210,(amounts are for the total of all 35 units),midamerican energy company,0.0,f1_gnrt_plant
210,(amounts are for the total of all 84 units),midamerican energy company,0.0,f1_gnrt_plant
210,10 units @ 1.62 mw each & 35 units @ 1 mw each),midamerican energy company,0.0,f1_gnrt_plant
210,34 units @ 1.62 mw & 13 units @ 2.3 mw each),midamerican energy company,0.0,f1_gnrt_plant
210,42 units @ 1.62 mw each),midamerican energy company,0.0,f1_gnrt_plant
210,5 units @ 2.415 mw each),midamerican energy company,0.0,f1_gnrt_plant
210,and 50 units @ 1.62 mw each),midamerican energy company,0.0,f1_gnrt_plant
210,arbor hill wind farm (125 units @ 2.0 mw each),midamerican energy company,250.0,f1_gnrt_plant
210,beaver creek wind farm,midamerican energy company,340.0,f1_gnrt_plant
210,charles city wind farm (8 units @ 1.5 mw each &,midamerican energy company,80.04,f1_gnrt_plant
210,ivester wind farm (30 units @ 2.625 mw each &,midamerican energy company,90.83,f1_gnrt_plant
210,north english wind farm,midamerican energy company,200.0,f1_gnrt_plant
210,orient wind farm (51 units @ 2.0 mw each),midamerican energy company,102.0,f1_gnrt_plant
210,pomeroy wind farm (137 units @ 1.5 mw each &,midamerican energy company,290.48,f1_gnrt_plant
210,prairie wind farm (84 units @ 2.0 mw each),midamerican energy company,168.0,f1_gnrt_plant
210,wellsburg wind farm (60 units @ 2.346 mw each),midamerican energy company,140.76,f1_gnrt_plant
281,emery (6 units 2.17 mw capacity each),interstate power and light company,13.0,f1_gnrt_plant
288,total solar operation/maintenance,"uns electric, inc.",0.0,f1_gnrt_plant
309,"amherst rd, sunderland ma",nstar electric company,0.0,f1_gnrt_plant
309,"cadwell dr, east springfield ma",nstar electric company,0.0,f1_gnrt_plant
309,"chapin street, ludlow",nstar electric company,0.0,f1_gnrt_plant
309,"cottage street, spingfield ma",nstar electric company,0.0,f1_gnrt_plant
309,"denslow rd, longmeadow ma",nstar electric company,0.0,f1_gnrt_plant
309,"duchaine blvd, bedford ma",nstar electric company,0.0,f1_gnrt_plant
309,"feeding hills rd, southwick ma",nstar electric company,0.0,f1_gnrt_plant
309,"goodwin street (indian orchard), springfield ma",nstar electric company,0.0,f1_gnrt_plant
309,"log plain rd, greenfield ma",nstar electric company,0.0,f1_gnrt_plant
309,"millers falls rd, montague, ma",nstar electric company,0.0,f1_gnrt_plant
309,"new windsor rd, hinsdale ma",nstar electric company,0.0,f1_gnrt_plant
309,"partridge rd, pittsfield ma",nstar electric company,0.0,f1_gnrt_plant
309,"plain rd, hatfield ma",nstar electric company,0.0,f1_gnrt_plant
309,"roosevelt ave, springfield ma",nstar electric company,0.0,f1_gnrt_plant
309,"silver lake, pittsfield ma",nstar electric company,0.0,f1_gnrt_plant
309,"station drive, westwood ma",nstar electric company,0.0,f1_gnrt_plant
309,"summer street, plymouth ma",nstar electric company,0.0,f1_gnrt_plant
309,"tobey rd, wareham ma",nstar electric company,0.0,f1_gnrt_plant
309,"valley rd, southhampton ma",nstar electric company,0.0,f1_gnrt_plant
309,"water street, lee ma",nstar electric company,0.0,f1_gnrt_plant
309,"windsor rd, savoy ma",nstar electric company,0.0,f1_gnrt_plant
403,not applicable,"cheyenne light, fuel and power company",0.0,f1_gnrt_plant
432,airport - units 1&2,"black hills/colorado electric utility company, lp",200.0,f1_steam
432,airport unit 6,"black hills/colorado electric utility company, lp",42.0,f1_steam
432,pueblo diesels,"black hills/colorado electric utility company, lp",10.0,f1_steam
432,rocky ford diesels,"black hills/colorado electric utility company, lp",10.0,f1_steam
454,little gypsy 2 & 3,"entergy louisiana, llc",1002.9,f1_steam
454,ninemile point 4 & 5,"entergy louisiana, llc",1790.2,f1_steam
454,sterlington 7,"entergy louisiana, llc",226.3,f1_steam
