utility_id_pudl,utility_id_ferc1,utility_name_ferc1,utility_id_eia,utility_name_eia,address_match,
243,272,Otter Tail Power Company,14232,Otter Tail Power Co,,
244,183,PACIFIC GAS AND ELECTRIC COMPANY,14328,Pacific Gas & Electric Co,,
245,329,Pacific Northwest Generating Cooperative,14323,Pacific Northwest Generating Coop,,
246,303,PacifiCorp,14354,PacifiCorp,,
263,250,Portland General Electric Company,15248,Portland General Electric Co,,
268,90,PSEG Fossil LLC,15147,PSEG Fossil LLC,,
269,262,PSEG Nuclear LLC,15478,PSEG Nuclear LLC,,
270,86,PSEG Power LLC,15452,PSEG Power Connecticut LLC,,
271,87,PSEG Power New York Inc.,14294,PSEG Power New York Inc,,
272,227,Public Service Company of Colorado,15466,Public Service Co of Colorado,,
273,244,Public Service Company of New Hampshire,15472,Public Service Co of NH,,
274,263,Public Service Company of New Mexico,15473,Public Service Co of NM,,
275,205,Public Service Company of Oklahoma,15474,Public Service Co of Oklahoma,,
276,260,Public Service Electric and Gas Company,15477,Public Service Elec & Gas Co,,
277,162,"Puget Sound Energy, Inc.",15500,Puget Sound Energy Inc,,
280,214,Rochester Gas and Electric Corporation,16183,Rochester Gas & Electric Corp,,
282,311,Safe Harbor Water Power Corporation,59364,Safe Harbor,,
284,218,San Diego Gas & Electric Company,16609,San Diego Gas & Electric Co,,
287,300,Sierra Pacific Power Company d/b/a NV Energy,17166,Sierra Pacific Power Co,,
292,168,South Carolina Electric & Gas Company,17539,South Carolina Electric&Gas Company,,
293,351,"South Carolina Generating Company, Inc.",17554,"South Carolina Genertg Co, Inc",,
295,155,Southern California Edison Company,17609,Southern California Edison Co,,
298,242,Southern Indiana Gas and Electric Company,17633,Southern Indiana Gas & Elec Co,,
301,206,Southwestern Electric Power Company,17698,Southwestern Electric Power Co,,
302,230,Southwestern Public Service Company,17718,Southwestern Public Service Co,,
311,235,"System Energy Resources, Inc.",12465,"System Energy Resources, Inc",,
313,157,Tampa Electric Company,18454,Tampa Electric Co,,
317,211,The Dayton Power and Light Company,4922,Dayton Power & Light Co,,
318,249,The Empire District Electric Company,5860,Empire District Electric Co,,
322,299,The United Illuminating Company,19497,United Illuminating Co,,
327,104,TransCanada Hydro NorthEast Inc.,50048,"TransCanada Hydro Northeast Inc.,",,
330,257,Tucson Electric Power Company,24211,Tucson Electric Power Co,,
334,221,UNION ELECTRIC COMPANY,19436,Union Electric Co - (MO),,
335,136,"United Power, Inc.",19499,"United Power, Inc",,
339,258,"UNS Electric, Inc.",19728,"UNS Electric, Inc",,
340,188,Upper Peninsula Power Company,19578,Upper Peninsula Power Company,,
348,60,Village of Morrisville Water and Light Department,12989,Village of Morrisville - (VT),,
349,164,VIRGINIA ELECTRIC AND POWER COMPANY,19876,Virginia Electric & Power Co,,
352,156,"Wabash Valley Power Association, Inc.",40211,"Wabash Valley Power Assn, Inc",,
354,74,"Washington Electric Cooperative, Inc.",20151,Washington Electric Coop - (VT),,
359,225,"Westar Energy, Inc.",22500,Westar Energy Inc,,
359,348,"Westar Generating, Inc.",22500,Westar Energy Inc,,
360,245,Western Massachusetts Electric Company,56999,Western Massachusetts Electric Company,,
361,207,Wheeling Power Company,20521,wheeling power co,,
363,280,Wisconsin Electric Power Company,20847,Wisconsin Electric Power Co,,
364,219,Wisconsin Power and Light Company,20856,Wisconsin Power & Light Co,,
365,187,Wisconsin Public Service Corporation,20860,Wisconsin Public Service Corp,,
366,189,Wisconsin River Power Company,20863,Wisconsin River Power Company,,
367,94,Wolf Creek Nuclear Operating Corporation,20893,Wolf Creek Nuclear Optg Corp,,
368,259,"Wolverine Power Supply Cooperative, Inc.",20910,Wolverine Power Supply Coop,,
371,379,York Haven Power Company,56065,York Haven Power Company LLC,,
5557,453,stanton clean energy llc,61903,Stanton Clean Energy LLC,,
6960,454,"oleander power project, limited partnership",22313,Oleander Power Project LP,,
16146,457,"harmony florida solar ii, llc",66091,"Harmony Florida Solar II, LLC",,
16148,455,"storey bend solar, llc",66092,"Storey Bend Solar, LLC",,
16149,456,"frp tupelo solar, llc",66063,"FRP Tupelo Solar, LLC",,
