,respondent_id,respondent_name,plant_name
90,159,South Carolina Electric & Gas Company,Canadys
91,42,The Dayton Power and Light Company,Miami Fort
92,108,"Nevada Power Company, d/b/a NV Energy",Higgins
93,55,"Duke Energy Florida, LLC",Crystal River South
94,55,"Duke Energy Florida, LLC",Suwannee Steam
95,7,Arizona Public Service Company,Yucca 4
96,108,"Nevada Power Company, d/b/a NV Energy","Clark 5,6,7,8,9,10"
97,432,"Black Hills/Colorado Electric Utility Company, LP",ROCKY FORD-Diesels
98,145,Public Service Company of Colorado,Fort Lupton
99,145,Public Service Company of Colorado,Valmont 6
100,22,Cleco Power LLC,Teche 4
101,17,"Duke Energy Progress, LLC",Roxboro
102,193,Wisconsin Electric Power Company,SO OAK CREEK-TOTAL
103,7,Arizona Public Service Company,Cholla 1
104,89,Madison Gas and Electric Company,Columbia 2
105,132,Otter Tail Power Company,Coyote
106,44,DTE Electric Company,Placid Peaker
107,157,Sierra Pacific Power Company d/b/a NV Energy,CLARK MOUNTAIN 3-4
108,27,"Duke Energy Ohio, Inc.",Killen 2 DEO
109,56,Florida Power & Light Company,Martin
110,57,Georgia Power Company,INTERCESSION CITY
111,187,Avista Corporation,Rathdrum
112,194,Wisconsin Power and Light Company,S Fond du Lac Unit 3
113,8,"Entergy Arkansas, Inc.",Arkansas Nuclear One
114,134,PacifiCorp,Blundell
115,176,Tucson Electric Power Company,Sundt
116,44,DTE Electric Company,St. Clair PP Cont.
117,193,Wisconsin Electric Power Company,PRESQUE ISLE-TOTAL
118,145,Public Service Company of Colorado,Hayden
119,194,Wisconsin Power and Light Company,Neenah Unit 2
120,120,Northern States Power Company (Minnesota),Blue Lake
121,100,"Entergy Mississippi, Inc.",Rex Brown
122,63,"Entergy Gulf States Louisiana, L.L.C.",Roy S. Nelson Unit 6
123,281,Interstate Power and Light Company,George Neal # 3
124,7,Arizona Public Service Company,Four Corners 1
125,89,Madison Gas and Electric Company,Nine Springs
126,2,ALABAMA POWER COMPANY,E. C. Gaston Unit 5
127,432,"Black Hills/Colorado Electric Utility Company, LP",AIRPORT-Pueblo
128,181,Upper Peninsula Power Company,Gladstone
129,95,"MDU Resources Group, Inc.",Miles City
130,22,Cleco Power LLC,Coughlin
131,87,EL Investment Company,Sterlington
132,2,ALABAMA POWER COMPANY,Washington County
133,159,South Carolina Electric & Gas Company,V.C. Summer (2/3rds)
134,42,The Dayton Power and Light Company,F. M. Tait
135,159,South Carolina Electric & Gas Company,Major Maint. Accrual
136,17,"Duke Energy Progress, LLC",H.B. Robinson
137,134,PacifiCorp,Dave Johnston
138,17,"Duke Energy Progress, LLC",Wayne County
139,57,Georgia Power Company,SCHERER
140,45,"Duke Energy Carolinas, LLC",Buck
141,1,AEP Generating Company,LAWRENCEBURG - AEG
142,55,"Duke Energy Florida, LLC",Bartow CT
143,145,Public Service Company of Colorado,Fort St. Vrain 5-6
144,55,"Duke Energy Florida, LLC",Anclote
145,79,Kansas City Power & Light Company,Hawthorn 6 & 9
146,2,ALABAMA POWER COMPANY,Joseph M. Farley
147,44,DTE Electric Company,River Rouge
148,454,"Entergy Louisiana, LLC",Ninemile 6
149,42,The Dayton Power and Light Company,East Bend
150,182,KCP&L Greater Missouri Operations Company,Iatan 1 (18%)
151,73,Indiana Michigan Power Company,DONALD C COOK PLANT
152,159,South Carolina Electric & Gas Company,Urquhart #4 Peaking
153,44,DTE Electric Company,Colfax Peaker
154,150,"Puget Sound Energy, Inc.",ENCOGEN
155,22,Cleco Power LLC,Franklin
156,134,PacifiCorp,Cholla
157,44,DTE Electric Company,Belle River DTE-81%
158,7,Arizona Public Service Company,West Phoenix 5
159,57,Georgia Power Company,WARNER ROBBINS
160,6,Appalachian Power Company,Mountaineer
161,70,Idaho Power Company,Bennett Mountain
162,44,DTE Electric Company,Delray Peaker
163,55,"Duke Energy Florida, LLC",Debary
164,44,DTE Electric Company,Superior Peaker
165,177,UNION ELECTRIC COMPANY,Venice
166,145,Public Service Company of Colorado,Arapahoe
167,121,Northern States Power Company (Wisconsin),Flambeau Station
168,87,EL Investment Company,Buras
169,57,Georgia Power Company,McINTOSH
170,22,Cleco Power LLC,Madison Unit 3
171,7,Arizona Public Service Company,Yucca 6
172,166,Southwestern Public Service Company,Carlsbad Gas
173,151,Rochester Gas and Electric Corporation,Station 9
174,141,Portland General Electric Company,Port Westward 2
175,157,Sierra Pacific Power Company d/b/a NV Energy,"FT CHURCHILL 1, 2"
176,119,Northern Indiana Public Service Company,Bailly
177,122,NorthWestern Corporation,Big Stone
178,27,"Duke Energy Ohio, Inc.",Zimmer DEO
179,12,"Black Hills Power, Inc.",Neil Simpson CT #1
180,166,Southwestern Public Service Company,Nichols Station
181,55,"Duke Energy Florida, LLC",Avon Park
182,134,PacifiCorp,Wyodak
183,161,Southern California Edison Company,Grapeland Peaker
184,454,"Entergy Louisiana, LLC",Roy S. Nelson Unit 6
185,7,Arizona Public Service Company,West Phoenix 2
186,44,DTE Electric Company,Enrico Fermi Peaker
187,194,Wisconsin Power and Light Company,S Fond du Lac Unit 2
188,7,Arizona Public Service Company,Four Corners 5
189,186,VIRGINIA ELECTRIC AND POWER COMPANY,Warren
190,144,"Duke Energy Indiana, LLC",MADISON
191,193,Wisconsin Electric Power Company,ROTHSCHILD
192,194,Wisconsin Power and Light Company,Riverside 2
193,315,"Entergy Texas, Inc.",Big Cajun 2 Unit 3
194,81,Kentucky Power Company,Big Sandy
195,454,"Entergy Louisiana, LLC",Monroe
196,2,ALABAMA POWER COMPANY,GE Plastics
197,186,VIRGINIA ELECTRIC AND POWER COMPANY,Pittsylvania
198,146,Public Service Company of New Hampshire,WHITE LAKE
199,155,San Diego Gas & Electric Company,Palomar
200,55,"Duke Energy Florida, LLC",Intercession City
201,187,Avista Corporation,Spokane N.E.
202,164,Southwestern Electric Power Company,*Flint Creek (1)
203,45,"Duke Energy Carolinas, LLC",Dan River
204,122,NorthWestern Corporation,Huron CT #1
205,55,"Duke Energy Florida, LLC",Tiger Bay
206,56,Florida Power & Light Company,St. Johns River
207,95,"MDU Resources Group, Inc.",WY Gen III
208,41,Consumers Energy Company,Karn 1 & 2
209,87,EL Investment Company,Ninemile Point
210,194,Wisconsin Power and Light Company,Sheboygan FallsUnit2
211,163,Southern Indiana Gas and Electric Company,A.B. Brown Station
212,178,"Duke Energy Kentucky, Inc.",EAST BEND
213,281,Interstate Power and Light Company,Ottumwa
214,157,Sierra Pacific Power Company d/b/a NV Energy,"VALMY 1, 2"
215,45,"Duke Energy Carolinas, LLC",McGuire
216,161,Southern California Edison Company,Mira Loma Peaker
217,57,Georgia Power Company,MITCHELL
218,454,"Entergy Louisiana, LLC",Little Gypsy
219,134,PacifiCorp,Chehalis
220,57,Georgia Power Company,MCDONOUGH NO. 3
221,134,PacifiCorp,Colstrip
222,177,UNION ELECTRIC COMPANY,Moberly C.T.
223,170,Tampa Electric Company,Phillips
224,73,Indiana Michigan Power Company,ROCKPORT UNIT 2 I&M
225,12,"Black Hills Power, Inc.",Wygen III-BHP 52%
226,194,Wisconsin Power and Light Company,Edgewater Unit 3
227,108,"Nevada Power Company, d/b/a NV Energy","Navajo 1,2,3"
228,55,"Duke Energy Florida, LLC",Bartow CC
229,80,Kansas Gas and Electric Company,Jeffrey 20%
230,227,"Wolverine Power Supply Cooperative, Inc.",Vestaburg
231,85,National Grid Generation LLC,Port Jefferson
232,12,"Black Hills Power, Inc.",Ben French Station
233,210,MidAmerican Energy Company,Walter Scott #2
234,194,Wisconsin Power and Light Company,S Fond du Lac Unit 1
235,7,Arizona Public Service Company,Redhawk 1
236,7,Arizona Public Service Company,Sundance
237,8,"Entergy Arkansas, Inc.",Hamilton Moses
238,150,"Puget Sound Energy, Inc.",FREDONIA 1&2
239,170,Tampa Electric Company,Big Bend 1 - 4
240,432,"Black Hills/Colorado Electric Utility Company, LP",WN Clark
241,8,"Entergy Arkansas, Inc.",Hot Spring
242,57,Georgia Power Company,WILSON
243,187,Avista Corporation,Colstrip
244,191,"Westar Energy, Inc.",Hutchinson w/Diesel
245,7,Arizona Public Service Company,West Phoenix 3
246,182,KCP&L Greater Missouri Operations Company,Sibley
247,145,Public Service Company of Colorado,Fort St. Vrain 1-4
248,177,UNION ELECTRIC COMPANY,Kirksville C.T.
249,195,Wisconsin Public Service Corporation,Pulliam 6
250,27,"Duke Energy Ohio, Inc.",Miami Fort CT
251,195,Wisconsin Public Service Corporation,Weston 4 (WPS Share)
252,176,Tucson Electric Power Company,Luna
253,17,"Duke Energy Progress, LLC",W.H. Weatherspoon
254,121,Northern States Power Company (Wisconsin),Bay Front
255,55,"Duke Energy Florida, LLC",Rio Pinar
256,73,Indiana Michigan Power Company,ROCKPORT TOTAL PLANT
257,57,Georgia Power Company,BOULEVARD
258,51,The Empire District Electric Company,Energy Center
259,177,UNION ELECTRIC COMPANY,Moreau C.T.
260,51,The Empire District Electric Company,Plum Point
261,186,VIRGINIA ELECTRIC AND POWER COMPANY,Darbytown
262,403,"Cheyenne Light, Fuel and Power Company",Cheyenne Prairie
263,288,"UNS Electric, Inc.",Gila River
264,81,Kentucky Power Company,Mitchell-KEPCo Share
265,147,Public Service Company of New Mexico,Lordsburg Turbine
266,144,"Duke Energy Indiana, LLC",GIBSON
267,210,MidAmerican Energy Company,Quad-Cities
268,164,Southwestern Electric Power Company,*Pirkey (2)
269,129,Old Dominion Electric Cooperative,Clover
270,193,Wisconsin Electric Power Company,PT WASHINGTON-TOTAL
271,100,"Entergy Mississippi, Inc.",Hinds
272,7,Arizona Public Service Company,Four Corners 2
273,99,Mississippi Power Company,Daniel
274,159,South Carolina Electric & Gas Company,Wateree
275,100,"Entergy Mississippi, Inc.",Gerald Andrus
276,163,Southern Indiana Gas and Electric Company,Warrick Unit #4
277,130,Oklahoma Gas and Electric Company,REDBUD
278,80,Kansas Gas and Electric Company,Wolf Creek 47%
279,194,Wisconsin Power and Light Company,Columbia II (WPL)
280,122,NorthWestern Corporation,Coyote
281,62,Gulf Power Company,Daniel
282,22,Cleco Power LLC,Acadia Unit 1
283,186,VIRGINIA ELECTRIC AND POWER COMPANY,Polyester
284,42,The Dayton Power and Light Company,W. H. Zimmer
285,166,Southwestern Public Service Company,Cunningham Steam
286,88,Louisville Gas and Electric Company,Cane Run CT
287,186,VIRGINIA ELECTRIC AND POWER COMPANY,Morgans Corner
288,191,"Westar Energy, Inc.",Flat Ridge
289,191,"Westar Energy, Inc.",Emporia CTF
290,120,Northern States Power Company (Minnesota),Angus Anson
291,145,Public Service Company of Colorado,Blue Spruce
292,63,"Entergy Gulf States Louisiana, L.L.C.",Ouachita
293,150,"Puget Sound Energy, Inc.",SUMAS
294,150,"Puget Sound Energy, Inc.",WILD HORSE
295,51,The Empire District Electric Company,Asbury
296,294,"Wabash Valley Power Association, Inc.",Wabash River Unit 1
297,194,Wisconsin Power and Light Company,S Fond du Lac Unit 4
298,1,AEP Generating Company,ROCKPORT TOTAL PLANT
299,108,"Nevada Power Company, d/b/a NV Energy",Silverhawk
300,98,"ALLETE, Inc.",Taconite Harbor
301,193,Wisconsin Electric Power Company,PLEASANT PRAIRIE-TOT
302,2,ALABAMA POWER COMPANY,Barry CC
303,159,South Carolina Electric & Gas Company,Hagood #6
304,79,Kansas City Power & Light Company,Northeast
305,44,DTE Electric Company,Oliver Peaker
306,72,Indiana-Kentucky Electric Corporation,CLIFTY CREEK
307,99,Mississippi Power Company,Eaton
308,202,"Chugach Electric Association, Inc.",International
309,22,Cleco Power LLC,Dolet Hills Power
310,195,Wisconsin Public Service Corporation,DePere Energy Center
311,7,Arizona Public Service Company,Four Corners 4
312,146,Public Service Company of New Hampshire,MERRIMACK
313,145,Public Service Company of Colorado,"Cherokee 5, 6, & 7"
314,194,Wisconsin Power and Light Company,Edgewater Unit4(All)
315,134,PacifiCorp,Hermiston
316,122,NorthWestern Corporation,Spion Kop
317,108,"Nevada Power Company, d/b/a NV Energy",LV Generation
318,108,"Nevada Power Company, d/b/a NV Energy",Harry Allen 4
319,41,Consumers Energy Company,Gaylord
320,17,"Duke Energy Progress, LLC",Cape Fear
321,186,VIRGINIA ELECTRIC AND POWER COMPANY,Chesapeake
322,55,"Duke Energy Florida, LLC",Turner
323,99,Mississippi Power Company,Watson CT
324,177,UNION ELECTRIC COMPANY,Audrain CTG
325,195,Wisconsin Public Service Corporation,Pulliam-Common
326,134,PacifiCorp,Naughton
327,288,"UNS Electric, Inc.",Valencia
328,194,Wisconsin Power and Light Company,Columbia I (All)
329,6,Appalachian Power Company,Philip Sporn - Total
330,7,Arizona Public Service Company,Saguaro 1
331,57,Georgia Power Company,MCINTOSH
332,178,"Duke Energy Kentucky, Inc.",MIAMI FORT 6
333,55,"Duke Energy Florida, LLC",Suwannee CT
334,134,PacifiCorp,Huntington
335,120,Northern States Power Company (Minnesota),Inver Hills
336,98,"ALLETE, Inc.",Boswell
337,161,Southern California Edison Company,Palo Verde
338,177,UNION ELECTRIC COMPANY,Rush Island
339,41,Consumers Energy Company,Cobb 4 & 5
340,8,"Entergy Arkansas, Inc.",Mabelvale
341,210,MidAmerican Energy Company,River Hills
342,122,NorthWestern Corporation,Beethoven wind
343,186,VIRGINIA ELECTRIC AND POWER COMPANY,Bear Garden
344,87,EL Investment Company,Waterford 1 & 2
345,186,VIRGINIA ELECTRIC AND POWER COMPANY,Bremo Bluff
346,144,"Duke Energy Indiana, LLC",VERMILLION
347,194,Wisconsin Power and Light Company,Sheepskin
348,192,Wheeling Power Company,MITCHELL -TOTAL
349,186,VIRGINIA ELECTRIC AND POWER COMPANY,Chesterfield
350,194,Wisconsin Power and Light Company,Riverside 3
351,41,Consumers Energy Company,Weadock 7 & 8
352,27,"Duke Energy Ohio, Inc.",Conesville 4 DEO
353,87,EL Investment Company,Perryville
354,120,Northern States Power Company (Minnesota),Sherburne County
355,79,Kansas City Power & Light Company,Montrose
356,42,The Dayton Power and Light Company,Sidney
357,144,"Duke Energy Indiana, LLC",EDWARDSPORT
358,164,Southwestern Electric Power Company,Wilkes
359,51,The Empire District Electric Company,State Line
360,187,Avista Corporation,Coyote Springs 2
361,186,VIRGINIA ELECTRIC AND POWER COMPANY,Possum Point Com Cyc
362,134,PacifiCorp,Hunter Unit No. 2
363,191,"Westar Energy, Inc.",Jeffrey (JEC)
364,147,Public Service Company of New Mexico,La Luz
365,62,Gulf Power Company,Smith CT
366,164,Southwestern Electric Power Company,Turk (4)
367,63,"Entergy Gulf States Louisiana, L.L.C.",River Bend
368,144,"Duke Energy Indiana, LLC",CAYUGA PEAKING
369,177,UNION ELECTRIC COMPANY,Pickneyville
370,6,Appalachian Power Company,Philip Sporn - APCo
371,193,Wisconsin Electric Power Company,ELM ROAD-TOTAL
372,41,Consumers Energy Company,Campbell 1 & 2
373,182,KCP&L Greater Missouri Operations Company,South Harper
374,176,Tucson Electric Power Company,Four Corners
375,194,Wisconsin Power and Light Company,Rock River Unit 3
376,145,Public Service Company of Colorado,Fruita
377,44,DTE Electric Company,Slocum Peaker
378,281,Interstate Power and Light Company,M. L. Kapp
379,56,Florida Power & Light Company,Sanford
380,23,Central Maine Power Company,None
381,7,Arizona Public Service Company,Yucca 5
382,195,Wisconsin Public Service Corporation,Weston 4 (Total)
383,105,Mt. Carmel Public Utility Co,Not Applicable
384,166,Southwestern Public Service Company,Tolk Station
385,2,ALABAMA POWER COMPANY,Respondant's Portion
386,7,Arizona Public Service Company,Navajo
387,12,"Black Hills Power, Inc.",Neil Simpson Unit 2
388,134,PacifiCorp,Gadsby Steam
389,100,"Entergy Mississippi, Inc.",Attala
390,141,Portland General Electric Company,Coyote Springs
391,45,"Duke Energy Carolinas, LLC",Rockingham
392,151,Rochester Gas and Electric Corporation,Russell Station 7
393,186,VIRGINIA ELECTRIC AND POWER COMPANY,Clover
394,164,Southwestern Electric Power Company,*Dolet Hills (3)
395,145,Public Service Company of Colorado,Valmont 5
396,12,"Black Hills Power, Inc.",Cheyenne Prairie 58%
397,79,Kansas City Power & Light Company,Wolf Creek (47%)
398,17,"Duke Energy Progress, LLC",Harris
399,85,National Grid Generation LLC,East Hampton
400,56,Florida Power & Light Company,Turkey Point
401,186,VIRGINIA ELECTRIC AND POWER COMPANY,Mecklenburg
402,95,"MDU Resources Group, Inc.",Big Stone
403,176,Tucson Electric Power Company,Demoss Petrie
404,55,"Duke Energy Florida, LLC",Crystal River North
405,120,Northern States Power Company (Minnesota),Black Dog Unit 2 & 5
406,49,El Paso Electric Company,Four Corners
407,88,Louisville Gas and Electric Company,Trimble County CT
408,454,"Entergy Louisiana, LLC",Acadia
409,315,"Entergy Texas, Inc.",Lewis Creek
410,150,"Puget Sound Energy, Inc.",WHITEHORN
411,194,Wisconsin Power and Light Company,Nelson Dewey Unit 1
412,428,"UGI Utilities, Inc.",N/A
413,49,El Paso Electric Company,Montana Power
414,42,The Dayton Power and Light Company,Yankee
415,56,Florida Power & Light Company,Space Coast
416,41,Consumers Energy Company,Straits
417,73,Indiana Michigan Power Company,TANNERS CREEK PLANT
418,177,UNION ELECTRIC COMPANY,Maryland Heights LF
419,164,Southwestern Electric Power Company,Welsh
420,17,"Duke Energy Progress, LLC",H.F. Lee
421,161,Southern California Edison Company,Barre Peaker
422,41,Consumers Energy Company,Campbell
423,210,MidAmerican Energy Company,Riverside
424,74,Indianapolis Power & Light Company,Georgetown
425,177,UNION ELECTRIC COMPANY,Labadie
426,159,South Carolina Electric & Gas Company,Williams #2 Peaking
427,85,National Grid Generation LLC,Holtsville
428,55,"Duke Energy Florida, LLC",Hines Energy Complex
429,99,Mississippi Power Company,Sweatt
430,7,Arizona Public Service Company,Palo Verde 2
431,17,"Duke Energy Progress, LLC",Asheville
432,57,Georgia Power Company,KRAFT
433,163,Southern Indiana Gas and Electric Company,F.B.Culley Station
434,148,Public Service Company of Oklahoma,Riverside 3 & 4
435,454,"Entergy Louisiana, LLC",River Bend
436,45,"Duke Energy Carolinas, LLC",Lee
437,194,Wisconsin Power and Light Company,Rock River Unit 4
438,147,Public Service Company of New Mexico,Luna
439,62,Gulf Power Company,Crist
440,80,Kansas Gas and Electric Company,Murray Gill
441,193,Wisconsin Electric Power Company,VALLEY-TOTAL
442,159,South Carolina Electric & Gas Company,Urquhart #1 Peaking
443,57,Georgia Power Company,HARLLEE BRANCH
444,42,The Dayton Power and Light Company,J. M. Stuart
445,7,Arizona Public Service Company,Redhawk 2
446,51,The Empire District Electric Company,SL Combined Cycle
447,95,"MDU Resources Group, Inc.",Lewis & Clark II
448,150,"Puget Sound Energy, Inc.",COLSTRIP 1 & 2
449,186,VIRGINIA ELECTRIC AND POWER COMPANY,Possum Point CT
450,89,Madison Gas and Electric Company,Sycamore - 2 Units
451,191,"Westar Energy, Inc.",Central Plains
452,281,Interstate Power and Light Company,Emery
453,164,Southwestern Electric Power Company,Lone Star
454,166,Southwestern Public Service Company,Quay County
455,57,Georgia Power Company,MITCHELL NO. 4
456,163,Southern Indiana Gas and Electric Company,Broadway 1
457,147,Public Service Company of New Mexico,Reeves
458,170,Tampa Electric Company,Bayside Units 3 - 6
459,186,VIRGINIA ELECTRIC AND POWER COMPANY,Chesterfield Com Cyc
460,22,Cleco Power LLC,Nesbitt Unit 1
461,194,Wisconsin Power and Light Company,Rock River Unit 5
462,120,Northern States Power Company (Minnesota),Granite City
463,159,South Carolina Electric & Gas Company,Hagood Combined
464,85,National Grid Generation LLC,Brookhaven
465,57,Georgia Power Company,DALTON
466,130,Oklahoma Gas and Electric Company,SOONER
467,80,Kansas Gas and Electric Company,La Cygne #2 (50%)
468,196,Wisconsin River Power Company,Juneau County 31
469,2,ALABAMA POWER COMPANY,Gadsden
470,195,Wisconsin Public Service Corporation,Pulliam 31
471,8,"Entergy Arkansas, Inc.",Robert Ritchie 3
472,8,"Entergy Arkansas, Inc.",Ouachita 1 & 2
473,119,Northern Indiana Public Service Company,DH Mitchell
474,194,Wisconsin Power and Light Company,Edgewater Unit4(WPL)
475,82,Kentucky Utilities Company,Trimble County
476,120,Northern States Power Company (Minnesota),Prairie Island
477,7,Arizona Public Service Company,Yucca 1
478,281,Interstate Power and Light Company,Marshalltown
479,160,"South Carolina Generating Company, Inc.",Williams
480,195,Wisconsin Public Service Corporation,W Marinette M33
481,56,Florida Power & Light Company,Manatee
482,148,Public Service Company of Oklahoma,TULSA
483,170,Tampa Electric Company,Polk Units 2 & 3
484,36,"Consolidated Edison Company of New York, Inc.",74th St GT 1&2
485,119,Northern Indiana Public Service Company,R M Schahfer
486,186,VIRGINIA ELECTRIC AND POWER COMPANY,Ladysmith
487,195,Wisconsin Public Service Corporation,Pulliam 5
488,163,Southern Indiana Gas and Electric Company,Broadway 2
489,164,Southwestern Electric Power Company,Harry D Mattison
490,281,Interstate Power and Light Company,Burlington CT
491,159,South Carolina Electric & Gas Company,Hagood #5
492,100,"Entergy Mississippi, Inc.",Natchez
493,281,Interstate Power and Light Company,Grinnell
494,12,"Black Hills Power, Inc.",Lange CT Facility
495,95,"MDU Resources Group, Inc.",Lewis & Clark
496,122,NorthWestern Corporation,DGGS - Mill Creek
497,57,Georgia Power Company,YATES
498,88,Louisville Gas and Electric Company,Brown CT
499,44,DTE Electric Company,Northeast Peaker
500,171,Alcoa Power Generating Inc.,Units 1 - 3
501,88,Louisville Gas and Electric Company,Cane Run NGCC
502,56,Florida Power & Light Company,Scherer Unit No. 4
503,98,"ALLETE, Inc.",Hibbard
504,146,Public Service Company of New Hampshire,WYMAN #4
505,210,MidAmerican Energy Company,Louisa
506,132,Otter Tail Power Company,Big Stone
507,403,"Cheyenne Light, Fuel and Power Company",Cheyenne Prairie 42%
508,88,Louisville Gas and Electric Company,Paddy's Run CT
509,177,UNION ELECTRIC COMPANY,Meramec C.T.
510,85,National Grid Generation LLC,South Hampton
511,7,Arizona Public Service Company,West Phoenix 4
512,63,"Entergy Gulf States Louisiana, L.L.C.",Calcasieu
513,45,"Duke Energy Carolinas, LLC",Mill Creek
514,176,Tucson Electric Power Company,Navajo
515,194,Wisconsin Power and Light Company,Bent Tree
516,70,Idaho Power Company,Danskin
517,133,PACIFIC GAS AND ELECTRIC COMPANY,DIABLO CANYON 1 & 2
518,7,Arizona Public Service Company,Four Corners 3
519,159,South Carolina Electric & Gas Company,Coit #2 Peaking
520,99,Mississippi Power Company,Ratcliffe
521,454,"Entergy Louisiana, LLC",Waterford 3
522,159,South Carolina Electric & Gas Company,McMeekin
523,177,UNION ELECTRIC COMPANY,Sioux
524,294,"Wabash Valley Power Association, Inc.",Holland
525,144,"Duke Energy Indiana, LLC",NOBLESVILLE
526,189,AEP Texas North Company,Oklaunion
527,182,KCP&L Greater Missouri Operations Company,Iatan 2 (18%)
528,17,"Duke Energy Progress, LLC",Darlington
529,432,"Black Hills/Colorado Electric Utility Company, LP",Pueblo 5 & 6
530,56,Florida Power & Light Company,Martin 8
531,49,El Paso Electric Company,Rio Grande
532,454,"Entergy Louisiana, LLC",Big Cajun 2 Unit 3
533,56,Florida Power & Light Company,Ft. Myers
534,176,Tucson Electric Power Company,San Juan
535,191,"Westar Energy, Inc.",Spring Creek
