operator_id,operator_name
59802,"Live Oak Solar, LLC"
59806,"Grand View PV Solar Two, LLC"
59839,Sunflower Wind Project
59941,"Innovative Solar 43, LLC"
59991,"Caprock Solar 1, LLC"
59998,"Frontier Windpower, LLC"
60044,"Bluestem Wind Energy, LLC"
60097,"San Isabel Solar, LLC"
60106,"Mesquite Solar 2, LLC"
60107,"Mesquite Solar 3, LLC"
60149,"Brady Wind II, LLC"
60245,Three Peaks Power LLC
60258,Paulding Wind Farm III LLC
60330,"SR South Loving, LLC"
60352,"Golden Fields Solar I, LLC"
60353,"Solar Star California, XLI, LLC"
60354,"Kelly Creek Wind, LLC"
60359,Summit Farms LLC
60364,Ninnescah Wind Energy LLC
60371,"Kingman Wind Energy, LLC"
60384,"Javelina Wind Energy II, LLC"
60397,Osborn Wind Energy LLC
60406,"Cimarron Bend Wind Project I, LLC"
60460,CXA Sundevil Power II
