year_index,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ferc_exempt_wholesale_generator_docket_no,,,,,,,ferc_exempt_wholesale_docket,ferc_exempt_wholesale_docket,ferc_exempt_wholesale_docket,ferc_exempt_wholesale_docket,ferc_exempt_wholesale_docket,ferc_exempt_wholesale_generator_docket_number,ferc_exempt_wholesale_generator_docket,ferc_exempt_wholesale_generator_docket,ferc_exempt_wholesale_generator_docket,ferc_exempt_wholesale_generator_docket,ferc_exempt_wholesale_generator_docket,ferc_exempt_wholesale_generator_docket,ferc_exempt_wholesale_generator_docket,ferc_exempt_wholesale_generator_docket
iso_rto,,,,,,,,,,iso_rto,iso_rto,iso_rto,,,,,,,,
iso_rto_code,,,,,,,,,,iso_rto_code,iso_rto_code,iso_rto_code,,,,,,,,
latitude,,,,,,,,,,,,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude
longitude,,,,,,,,,,,,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude
balancing_authority_code_eia,,,,,,,,,,,,,balancing_authority_code,balancing_authority_code,balancing_authority_code,balancing_authority_code,balancing_authority_code,balancing_authority_code,balancing_authority_code,balancing_authority_code
balancing_authority_name_eia,,,,,,,,,,,,,balancing_authority_name,balancing_authority_name,balancing_authority_name,balancing_authority_name,balancing_authority_name,balancing_authority_name,balancing_authority_name,balancing_authority_name
grid_voltage_kv,,,,,,,,,,,gridvoltage,grid_voltage_kv,grid_voltage_kv,grid_voltage_kv,grid_voltage_kv,grid_voltage_kv,grid_voltage_kv,grid_voltage_kv,grid_voltage_kv,grid_voltage_kv
grid_voltage_2_kv,,,,,,,,,,,,,grid_voltage_2_kv,grid_voltage_2_kv,grid_voltage_2_kv,grid_voltage_2_kv,grid_voltage_2_kv,grid_voltage_2_kv,grid_voltage_2_kv,grid_voltage_2_kv
grid_voltage_3_kv,,,,,,,,,,,,,grid_voltage_3_kv,grid_voltage_3_kv,grid_voltage_3_kv,grid_voltage_3_kv,grid_voltage_3_kv,grid_voltage_3_kv,grid_voltage_3_kv,grid_voltage_3_kv
ash_impoundment,,,,,,,,,,,,,ash_impoundment,ash_impoundment,ash_impoundment,ash_impoundment,ash_impoundment,ash_impoundment,ash_impoundment,ash_impoundment
ash_impoundment_lined,,,,,,,,,,,,,ash_impoundment_lined,ash_impoundment_lined,ash_impoundment_lined,ash_impoundment_lined,ash_impoundment_lined,ash_impoundment_lined,ash_impoundment_lined,ash_impoundment_lined
ash_impoundment_status,,,,,,,,,,,,,ash_impoundment_status,ash_impoundment_status,ash_impoundment_status,ash_impoundment_status,ash_impoundment_status,ash_impoundment_status,ash_impoundment_status,ash_impoundment_status
energy_storage,,,,,,,,,,,,,,,,energy_storage,energy_storage,energy_storage,energy_storage,energy_storage
natural_gas_pipeline_name_1,,,,,,,,,,,,,natural_gas_pipeline_name,natural_gas_pipeline_name,natural_gas_pipeline_name,natural_gas_pipeline_name_1,natural_gas_pipeline_name_1,natural_gas_pipeline_name_1,natural_gas_pipeline_name_1,natural_gas_pipeline_name_1
natural_gas_pipeline_name_2,,,,,,,,,,,,,,,,natural_gas_pipeline_name_2,natural_gas_pipeline_name_2,natural_gas_pipeline_name_2,natural_gas_pipeline_name_2,natural_gas_pipeline_name_2
natural_gas_pipeline_name_3,,,,,,,,,,,,,,,,natural_gas_pipeline_name_3,natural_gas_pipeline_name_3,natural_gas_pipeline_name_3,natural_gas_pipeline_name_3,natural_gas_pipeline_name_3
pipeline_notes,,,,,,,,,,,,,,,,pipeline_notes,pipeline_notes,pipeline_notes,pipeline_notes,pipeline_notes
natural_gas_local_distribution_company,,,,,,,,,,,,,,,,natural_gas_ldc_name,natural_gas_ldc_name,natural_gas_ldc_name,natural_gas_ldc_name,natural_gas_ldc_name
natural_gas_storage,,,,,,,,,,,,,,,,natural_gas_storage,natural_gas_storage,natural_gas_storage,natural_gas_storage,natural_gas_storage
liquefied_natural_gas_storage,,,,,,,,,,,,,,,,liquefied_natural_gas_storage,liquefied_natural_gas_storage,liquefied_natural_gas_storage,liquefied_natural_gas_storage,liquefied_natural_gas_storage
datum,,,,,,,datum,,,,,,,,,,,,,
