2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,2009_79_2_2,2010_79_2_4,2011_79_2_4,2012_79_2_4,2013_79_2_4,2014_79_2_4,2015_79_2_4,2016_79_2_4
2004_80_0_4,2005_80_0_4,2006_80_0_4,2007_80_0_4,2008_80_0_4,2009_80_0_4,2010_80_0_4,2011_80_0_4,2012_80_0_4,2013_80_0_3,2014_80_0_3,2015_80_0_3,2016_80_0_3
2004_80_0_5,2005_80_0_5,2006_80_0_5,2007_80_0_5,2008_80_0_5,2009_80_0_5,2010_80_0_5,2011_80_0_5,2012_80_0_5,2013_80_0_4,2014_80_0_4,2015_80_0_4,2016_80_0_4
2004_182_0_1,2005_182_0_1,2006_182_0_1,2007_182_0_1,2008_182_0_1,2009_182_0_1,2010_182_0_1,2011_182_0_1,2012_182_0_1,2013_182_0_1,2014_182_0_1,2015_182_0_1,2016_182_0_1
,,,,,,,2011_210_1_3,2012_210_1_3,2013_210_1_3,2014_210_1_3,2015_210_1_3,2016_210_1_3
,,,,,,,2011_210_1_4,2012_210_1_4,2013_210_1_4,2014_210_1_4,2015_210_1_4,2016_210_1_4
2004_281_2_1,2005_281_2_1,2006_281_2_1,2007_281_1_4,2008_281_1_4,2009_281_1_4,2010_281_1_4,2011_281_1_4,2012_281_1_4,2013_281_1_4,2014_281_1_4,2015_281_1_4,2016_281_1_4
,,,,,,,2011_210_0_2,2012_210_0_2,2013_210_0_2,2014_210_0_2,2015_210_0_2,2016_210_0_2
2004_147_0_1,2005_147_0_1,2006_147_0_1,2007_147_0_1,2008_147_0_1,2009_147_0_1,2010_147_0_1,2011_147_0_1,2012_147_0_1,2013_147_0_1,2014_147_0_1,2015_147_0_1,2016_147_0_1
2004_176_0_4,2005_176_0_4,2006_176_0_4,2007_176_0_3,2008_176_0_3,2009_176_0_3,2010_176_0_3,2011_176_0_3,2012_176_0_3,2013_176_0_3,2014_176_0_3,2015_176_0_5,2016_176_0_5
2004_186_3_4,2005_186_3_4,2006_186_3_4,2007_186_3_4,2008_186_3_4,2009_186_3_4,2010_186_3_4,2011_186_3_4,2012_186_3_4,2013_186_3_4,2014_186_3_4,2015_186_3_4,2016_186_3_4
2004_186_0_5,2005_186_0_5,2006_186_0_5,2007_186_0_5,2008_186_0_5,2009_186_0_5,2010_186_0_5,2011_186_0_5,2012_186_0_5,2013_186_0_5,2014_186_0_5,2015_186_0_5,2016_186_0_5
2004_1_0_3,2005_1_0_3,2006_1_0_3,2007_1_0_3,2008_1_0_3,2009_1_0_3,2010_1_0_3,2011_1_0_3,2012_1_0_3,2013_1_0_3,2014_1_0_3,2015_1_0_3,2016_1_0_3
2004_73_0_3,2005_73_0_3,2006_73_0_3,2007_73_0_3,2008_73_0_3,2009_73_0_3,2010_73_0_3,2011_73_0_3,2012_73_0_3,2013_73_0_3,2014_73_0_3,2015_73_0_3,2016_73_0_3
2004_186_2_2,2005_186_2_2,2006_186_2_2,2007_186_2_2,2008_186_2_2,2009_186_2_2,2010_186_2_2,2011_186_2_2,2012_186_2_2,2013_186_2_2,2014_186_2_2,2015_186_2_2,2016_186_2_2
2004_127_1_4,2005_127_1_4,2006_127_1_4,2007_127_1_4,2008_127_1_4,2009_127_1_4,2010_127_1_4,2011_127_1_4,2012_127_1_4,2013_127_1_4,,,
,,,,,,,,,,2014_81_0_2,2015_81_0_2,2016_81_0_2
,,,,,,,,,,2014_452_1_4,,
,,,,,,,,,,,2015_192_0_1,2016_192_0_1
,,,,,,,,2012_186_6_3,2013_186_6_3,2014_186_6_3,2015_186_6_3,2016_186_6_3
,,2006_178_0_1,2007_178_0_1,2008_178_0_1,2009_178_0_1,2010_178_0_1,2011_178_0_1,2012_178_0_1,2013_178_0_1,2014_178_0_1,2015_178_0_1,2016_178_0_1
2004_27_0_5,2005_27_0_5,,,,,,,,,,,
2004_42_3_1,2005_42_3_1,2006_42_3_1,2007_42_3_1,2008_42_3_1,2009_42_3_1,2010_42_3_1,2011_42_3_1,2012_42_3_1,2013_42_3_1,2014_42_3_1,,
2004_101_0_3,2005_101_0_3,2006_101_0_3,2007_101_0_3,2008_101_0_3,2009_101_0_3,2010_101_0_3,2011_101_0_3,2012_101_0_3,2013_101_0_3,2014_101_0_2,2015_101_0_2,2016_101_0_2
2004_127_0_1,2005_127_0_1,2006_127_0_1,2007_127_0_1,2008_127_0_1,2009_127_0_1,2010_127_0_1,2011_127_0_1,2012_127_0_1,2013_127_0_1,,,
2004_6_0_2,2005_6_0_2,2006_6_0_2,2007_6_0_2,2008_6_0_2,2009_6_0_2,2010_6_0_2,2011_6_0_2,2012_6_0_2,2013_6_0_2,,,
,,,,,,,,,,2014_6_0_2,2015_6_0_2,2016_6_0_2
2004_27_2_2,2005_27_2_2,2006_27_2_2,2007_27_2_2,2008_27_2_2,2009_27_1_1,2010_27_1_1,2011_27_1_1,2012_27_1_1,2013_27_1_1,2014_27_1_1,,
2004_42_2_3,2005_42_2_3,2006_42_2_3,2007_42_2_3,2008_42_2_3,2009_42_2_3,2010_42_2_3,2011_42_2_3,2012_42_2_3,2013_42_2_3,2014_42_2_3,2015_42_2_3,2016_42_2_3
2004_42_1_4,2005_42_1_4,2006_42_1_4,2007_42_1_4,2008_42_1_4,2009_42_1_4,2010_42_1_4,2011_42_1_4,2012_42_1_4,2013_42_1_4,2014_42_1_4,2015_42_1_4,2016_42_1_4
,,,,,,,2011_127_3_4,2012_127_3_4,2013_127_3_4,,,
,,,,,,,,,,2014_452_2_4,,
2004_145_0_4,2005_145_0_4,2006_145_0_4,2007_145_0_4,2008_145_0_4,2009_145_0_4,2010_145_0_4,2011_145_0_4,2012_145_0_4,2013_145_0_4,2014_145_0_4,2015_145_0_4,2016_145_0_4
2004_145_1_2,2005_145_1_2,2006_145_1_2,2007_145_1_2,2008_145_1_2,2009_145_1_2,2010_145_1_2,2011_145_1_2,2012_145_1_2,2013_145_1_2,2014_145_1_2,2015_145_1_2,2016_145_1_2
2004_145_1_1,2005_145_1_1,2006_145_1_1,2007_145_1_1,2008_145_1_1,2009_145_1_1,2010_145_1_1,2011_145_1_1,2012_145_1_1,2013_145_1_1,2014_145_1_1,2015_145_1_1,2016_145_1_1
2004_134_1_1,2005_134_1_1,2006_134_1_1,2007_134_1_1,2008_134_1_1,2009_134_1_1,2010_134_1_1,2011_134_1_1,2012_134_1_1,2013_134_1_1,2014_134_1_1,2015_134_1_1,2016_134_0_5
2004_145_0_5,2005_145_0_5,2006_145_0_5,2007_145_0_5,2008_145_0_5,2009_145_0_5,2010_145_0_5,2011_145_0_5,2012_145_0_5,2013_145_0_5,2014_145_0_5,2015_145_0_5,2016_145_0_5
2004_134_0_4,2005_134_0_4,2006_134_0_4,2007_134_0_4,2008_134_0_4,2009_134_0_4,2010_134_0_4,2011_134_0_4,2012_134_0_4,2013_134_0_4,2014_134_0_4,2015_134_0_4,2016_134_0_3
2004_122_1_3,2005_122_1_3,2006_122_1_3,2007_122_1_3,2008_122_1_3,2009_122_1_3,2010_122_1_3,2011_122_1_3,2012_122_1_3,2013_122_1_3,2014_122_1_3,2015_122_1_3,2016_122_1_3
2004_134_0_3,2005_134_0_3,2006_134_0_3,2007_134_0_3,2008_134_0_3,2009_134_0_3,2010_134_0_3,2011_134_0_3,2012_134_0_3,2013_134_0_3,2014_134_0_3,2015_134_0_3,2016_134_0_2
2004_187_0_4,2005_187_0_4,2006_187_0_4,2007_187_0_4,2008_187_0_4,2009_187_0_4,2010_187_0_4,2011_187_0_4,2012_187_0_4,2013_187_0_4,2014_187_0_4,2015_187_0_4,2016_187_0_4
,,,,2008_150_0_1,2009_150_0_1,2010_150_0_1,2011_150_0_1,2012_150_0_1,2013_150_0_1,2014_150_0_1,2015_150_0_1,2016_150_0_1
,,,,2008_150_0_2,2009_150_0_2,2010_150_0_2,2011_150_0_2,2012_150_0_2,2013_150_0_2,2014_150_0_2,2015_150_0_2,2016_150_0_2
2004_134_1_2,2005_134_1_2,2006_134_1_2,2007_134_1_2,2008_134_1_2,2009_134_1_2,2010_134_1_2,2011_134_1_2,2012_134_1_2,2013_134_1_2,2014_134_1_2,2015_134_1_2,2016_134_1_1
2004_134_1_3,2005_134_1_3,2006_134_1_3,2007_134_1_3,2008_134_1_3,2009_134_1_3,2010_134_1_3,2011_134_1_3,2012_134_1_3,2013_134_1_3,2014_134_1_3,2015_134_1_3,2016_134_1_2
2004_134_1_4,2005_134_1_4,2006_134_1_4,2007_134_1_4,2008_134_1_4,2009_134_1_4,2010_134_1_4,2011_134_1_4,2012_134_1_4,2013_134_1_4,2014_134_1_4,2015_134_1_4,2016_134_1_3
2004_134_2_2,2005_134_2_2,2006_134_2_2,2007_134_2_2,2008_134_2_2,2009_134_2_2,2010_134_2_2,2011_134_2_2,2012_134_2_2,2013_134_2_2,2014_134_2_2,2015_134_2_2,2016_134_2_1
2004_70_0_1,2005_70_0_1,2006_70_0_1,2007_70_0_1,2008_70_0_1,2009_70_0_1,2010_70_0_1,2011_70_0_1,2012_70_0_1,2013_70_0_1,2014_70_0_1,2015_70_0_1,2016_70_0_1
2004_134_2_1,2005_134_2_1,2006_134_2_1,2007_134_2_1,2008_134_2_1,2009_134_2_1,2010_134_2_1,2011_134_2_1,2012_134_2_1,2013_134_2_1,2014_134_2_1,2015_134_2_1,2016_134_1_5
2004_177_0_4,2005_177_0_4,2006_177_0_4,2007_177_0_4,2008_177_1_5,2009_177_1_5,2010_177_1_5,2011_177_0_4,2012_177_0_4,2013_177_0_4,2014_177_0_4,2015_177_0_4,2016_177_0_4
2004_70_0_3,2005_70_0_3,2006_70_0_3,2007_70_0_3,2008_70_0_3,2009_70_0_3,2010_70_0_3,2011_70_0_3,2012_70_0_3,2013_70_0_3,2014_70_0_3,2015_70_0_3,2016_70_0_3
2004_157_0_3,2005_157_0_3,2006_157_0_3,2007_157_0_3,2008_157_0_3,2009_157_0_3,2010_157_0_2,2011_157_0_2,2012_157_0_2,2013_157_0_2,2014_157_0_2,2015_157_0_2,2016_157_0_2
2004_132_0_2,2005_132_0_2,2006_132_0_2,2007_132_0_2,2008_132_0_2,2009_132_0_2,2010_132_0_2,2011_132_0_2,2012_132_0_2,2013_132_0_2,2014_132_0_2,2015_132_0_2,2016_132_0_2
2004_122_0_1,2005_122_0_1,2006_122_0_1,2007_122_0_1,2008_122_0_1,2009_122_0_1,2010_122_0_1,2011_122_0_1,2012_122_0_1,2013_122_0_1,2014_122_0_1,2015_122_0_1,2016_122_0_1
2004_95_0_4,2005_95_0_4,2006_95_0_4,2007_95_0_4,2008_95_0_4,2009_95_0_4,2010_95_0_4,2011_95_0_4,2012_95_0_4,2013_95_0_4,2014_95_0_4,2015_95_0_4,2016_95_0_4
2004_49_0_3,2005_49_0_3,2006_49_0_3,2007_49_0_3,2008_49_0_3,2009_49_0_3,2010_49_0_3,2011_49_0_3,2012_49_0_3,2013_49_0_4,2014_49_0_4,2015_49_0_4,2016_49_0_4
2004_176_0_3,2005_176_0_3,2006_176_0_3,2007_176_0_4,2008_176_0_4,2009_176_0_4,2010_176_0_4,2011_176_0_4,2012_176_0_4,2013_176_0_4,2014_176_0_4,2015_176_1_1,2016_176_1_1
2004_161_0_2,2005_161_0_2,2006_161_0_2,2007_161_0_2,2008_161_0_2,2009_161_0_2,2010_161_0_2,2011_161_0_2,2012_161_0_2,,,,
2004_7_0_3,2005_7_0_3,2006_7_0_3,2007_7_1_2,2008_7_1_2,2009_7_1_2,2010_7_1_2,2011_7_1_2,2012_7_1_2,2013_7_1_2,,,
2004_7_0_3,2005_7_0_3,2006_7_0_3,2007_7_1_3,2008_7_1_3,2009_7_1_3,2010_7_1_3,2011_7_1_3,2012_7_1_3,2013_7_1_3,,,
2004_7_0_3,2005_7_0_3,2006_7_0_3,2007_7_1_4,2008_7_1_4,2009_7_1_4,2010_7_1_4,2011_7_1_4,2012_7_1_4,2013_7_1_4,,,
2004_7_0_4,2005_7_0_4,2006_7_0_4,2007_7_1_5,2008_7_1_5,2009_7_1_5,2010_7_1_5,2011_7_1_5,2012_7_1_5,2013_7_1_5,2014_7_1_5,2015_7_1_5,2016_7_0_3
2004_7_0_4,2005_7_0_4,2006_7_0_4,2007_7_2_1,2008_7_2_1,2009_7_2_1,2010_7_2_1,2011_7_2_1,2012_7_2_1,2013_7_2_1,2014_7_2_1,2015_7_2_1,2016_7_0_4
2004_42_2_4,2005_42_2_4,2006_42_2_4,2007_42_2_4,2008_42_2_4,2009_42_2_4,2010_42_2_4,2011_42_2_4,2012_42_2_4,2013_42_2_4,2014_42_2_4,2015_42_2_4,2016_42_2_4
2004_163_0_1,2005_163_0_1,2006_163_0_1,2007_163_0_1,2008_163_0_1,2009_163_0_1,2010_163_0_1,2011_163_0_1,2012_163_0_1,2013_163_0_1,2014_163_0_1,2015_163_0_1,2016_163_0_1
2004_163_0_4,2005_163_0_4,2006_163_0_4,2007_163_0_4,2008_163_0_4,2009_163_0_4,2010_163_0_4,2011_163_0_4,2012_163_0_4,2013_163_0_4,2014_163_0_4,2015_163_0_4,2016_163_0_4
2004_163_1_3,2005_163_1_3,2006_163_1_3,2007_163_1_3,2008_163_1_3,2009_163_1_3,2010_163_1_3,2011_163_1_3,2012_163_1_3,2013_163_1_3,2014_163_1_3,2015_163_1_3,2016_163_1_3
,,,,,,,2011_87_1_5,2012_87_1_5,2013_87_1_5,2014_87_1_5,2015_87_1_3,
,,,,,,,,,,,2015_454_3_1,2016_454_0_1
,,,,,,2010_22_1_2,2011_22_1_2,2012_22_1_2,2013_22_1_2,2014_22_1_2,2015_22_1_2,2016_22_1_2
