,respondent_id,respondent_name,plant_name,kind_of_fuel,capacity_rating
110,161,Southern California Edison Company,   TOTAL,,10.9
111,119,Northern Indiana Public Service Company,Oakdale,hydro,9.0
112,123,Northwestern Wisconsin Electric Company,FREDERIC,#2 ULS DIESEL,14.56
113,120,Northern States Power Company (Minnesota),Borders Wind,Wind,150.0
114,210,MidAmerican Energy Company,Pomeroy Wind Farm (171 units @ 1.5 MW each &,,286.4
115,147,Public Service Company of New Mexico,Manzano Solar,Solar,8.0
116,161,Southern California Edison Company,SC-VALLY44-SOL,,8.0
117,147,Public Service Company of New Mexico,South Valley Solar,Solar,10.0
118,44,DTE Electric Company,Thumb Wind Park (Sigel),Wind,64.0
119,147,Public Service Company of New Mexico,Santolina Solar,Solar,10.5
120,45,"Duke Energy Carolinas, LLC",Cedar Cliff - Project 2698,,6.4
121,147,Public Service Company of New Mexico,Sandoval Solar,Solar,6.0
122,133,PACIFIC GAS AND ELECTRIC COMPANY,Westside - Schindler Solar Station #2,Solar,15.0
123,7,Arizona Public Service Company,Total Solar Operation/Maintenance,,190.76
124,161,Southern California Edison Company,Bishop Creek No. 2,,7.3
125,11,Emera Maine,Bar Harbor,,8000.0
126,3,Alaska Electric Light and Power Company,FERC Project No. 2307,,8.5
127,7,Arizona Public Service Company,Paloma,,17.0
128,210,MidAmerican Energy Company,Lundgren Wind Farm (107 units @ 2.346 MW each),,251.02
129,133,PACIFIC GAS AND ELECTRIC COMPANY,Huron Solar Station,Solar,20.0
130,294,"Wabash Valley Power Association, Inc.",   Lawrence,natural gas,86.0
131,281,Interstate Power and Light Company,  Emery ( 6 units 2.17 MW capacity each ),Oil,13.0
132,193,Wisconsin Electric Power Company,Chalk Hills - 2394 (4),,7.8
133,61,Green Mountain Power Corp,Millstone Nuclear #227,,21.0
134,115,New York State Electric & Gas Corporation,Auburn Gas Turbine,,7.25
135,141,Portland General Electric Company,US Bank Corp Columbia Center,diesel-low s,6.4
136,141,Portland General Electric Company,Providence Portland Medical Center,diesel-low s,6.0
137,132,Otter Tail Power Company,Langdon,,40.5
138,210,MidAmerican Energy Company,Charles City Wind Farm (50 units @ 1.5 MW each),,75.0
139,134,PacifiCorp,Marengo II,Wind,70.2
140,146,Public Service Company of New Hampshire,Eastman Falls #2457,,6.4
141,61,Green Mountain Power Corp,Proctor #205,,6.93
142,3,Alaska Electric Light and Power Company,Total Gold Creek Internal Combustion,diesel,8.1
143,210,MidAmerican Energy Company,Rolling Hills Wind Farm (193 units @ 2.3MW each),,443.9
144,61,Green Mountain Power Corp,Milton #225,,7.5
145,120,Northern States Power Company (Minnesota),Grand Meadow Wind Farm,Wind,100.5
146,147,Public Service Company of New Mexico,Los Lunas Solar,Solar,7.0
147,210,MidAmerican Energy Company,Wellsburg Wind Farm (60 units @ 2.346,,140.76
148,61,Green Mountain Power Corp,Peterson #226,,6.35
149,151,Rochester Gas and Electric Corporation,Rochester Station 2 (A),Hydro,8.5
150,432,"Black Hills/Colorado Electric Utility Company, LP",Busch Ranch Wind Energy Farm,Wind,29.04
151,210,MidAmerican Energy Company,Laurel Wind Farm (52 units @ 2.3 MW each),,119.6
152,161,Southern California Edison Company,Bishop Creek No. 3,,7.8
153,210,MidAmerican Energy Company,Vienna Wind Farm (64 units @ 2.346 MW each),,150.14
154,210,MidAmerican Energy Company,Adams Wind Farm (40 units @ 2.415 MW each &,,105.98
155,161,Southern California Edison Company,Rush Creek,,13.0
156,146,Public Service Company of New Hampshire,Ayers Island  #2456,,8.4
157,133,PACIFIC GAS AND ELECTRIC COMPANY, Inskip FERC No.1121,Water,7.65
158,210,MidAmerican Energy Company,Century Wind Farm (110 units @ 1.5 MW each &,,200.0
159,121,Northern States Power Company (Wisconsin),Menomonie,,5.4
160,133,PACIFIC GAS AND ELECTRIC COMPANY, Spring Gap FERC No.2130,Water,6.0
161,195,Wisconsin Public Service Corporation,Lincoln Turbines,,9.24
162,134,PacifiCorp,Seven Mile Hill,Wind,99.0
163,195,Wisconsin Public Service Corporation,High Falls                 2595,,7.45
164,193,Wisconsin Electric Power Company,Kingsford - 2131 (4),,7.2
165,11,Emera Maine,Eastport,,4000.0
166,147,Public Service Company of New Mexico,Meadowlake Solar,Solar,9.0
167,108,"Nevada Power Company, d/b/a NV Energy",Nellis Solar,Solar,15.0
168,84,Lockhart Power Company,City of Union Diesel Peaking Plant,No. 2 Diesel,7.3
169,61,Green Mountain Power Corp,Beldens #204,,5.85
170,134,PacifiCorp,Leaning Juniper 1,Wind,100.0
171,134,PacifiCorp,Dunlap Ranch 1,Wind,111.0
172,133,PACIFIC GAS AND ELECTRIC COMPANY, Volta No.1 FERC No.1121,Water,8.55
173,85,National Grid Generation LLC,East Hampton Diesel,OIL,6.0
174,186,VIRGINIA ELECTRIC AND POWER COMPANY,Cushaw,,7.5
175,193,Wisconsin Electric Power Company,Milwaukee County (6),Coal & Gas,11.0
176,210,MidAmerican Energy Company,Eclipse Wind Farm (87 units @ 2.3 MW each),,200.1
177,119,Northern Indiana Public Service Company,Norway,hydro,7.0
178,132,Otter Tail Power Company,Luverne,,49.5
179,195,Wisconsin Public Service Corporation,Crane Creek,,99.0
180,134,PacifiCorp,Seven Mile Hill II,Wind,19.5
181,195,Wisconsin Public Service Corporation,Wausau                    1999,,5.4
182,40,Consolidated Water Power Company,Whiting,,5.79
183,193,Wisconsin Electric Power Company,Blue Sky Green Field,,145.2
184,134,PacifiCorp,McFadden Ridge I,Wind,28.5
185,161,Southern California Edison Company,Bishop Creek No. 4,,8.0
186,8,"Entergy Arkansas, Inc.",Cecil Lynch (Internal Combustion),Oil,6.0
187,84,Lockhart Power Company,Pacolet Diesel Peaking Plant,No. 2 Diesel,5.5
188,210,MidAmerican Energy Company,Walnut Wind Farm (102 units @ 1.5 MW each),,153.0
189,45,"Duke Energy Carolinas, LLC",Bear Creek - Project 2698,,9.0
190,7,Arizona Public Service Company,Gila Bend Phase 1,,16.0
191,193,Wisconsin Electric Power Company,Montfort,,30.0
192,120,Northern States Power Company (Minnesota),Pleasant Valley,Wind,200.0
193,41,Consumers Energy Company,Foote - FPC #2436,,9.0
194,210,MidAmerican Energy Company,Portable Power Modules (28 units @ 2 MW each),Diesel Oil,56.0
195,294,"Wabash Valley Power Association, Inc.",   Vermillion,natural gas,243.0
196,134,PacifiCorp,Rolling Hills,Wind,99.0
197,134,PacifiCorp,Goodnoe Hills,Wind,94.0
198,134,PacifiCorp,Ashton                                2381,Water,6.7
199,44,DTE Electric Company,Thumb Wind Park (McKinley),Wind,14.4
200,134,PacifiCorp,Foote Creek,Wind,32.15
201,134,PacifiCorp,Marengo,Wind,140.4
202,95,"MDU Resources Group, Inc.",Thunder Spirit,Wind,107.5
203,41,Consumers Energy Company,Lake Winds Energy Park,,100.8
