,respondent_id,respondent_name
129,239,KeySpan Generation LLC
130,181,Upper Peninsula Power Company
131,426,Sun River Electric Cooperative
132,38,Connecticut Yankee Atomic Power Company
133,106,Nantahala Power and Light Company
134,320,Vermont Transco LLC
135,270,PSEG Fossil LLC
136,151,Rochester Gas and Electric Corporation
137,16,CANAL ELECTRIC COMPANY
138,418,"North Central Power Co., Inc."
139,308,Michigan Electric Transmission Company LLC (10/06)
140,34,Commonwealth Electric Company
141,79,Kansas City Power & Light Company
142,138,PPL Electric Utilities Corporation
143,288,"UNS Electric, Inc."
144,207,"Rayburn Country Electric Cooperative, Inc."
145,441,"AEP Southwestern Transmission Company, Inc."
146,97,Midwest Power Systems Inc.
147,267,Wellsboro Electric Company
148,218,Connexus Energy
149,266,Illinois Power Generating Company
150,50,"Electric Energy, Inc."
151,149,Public Service Electric and Gas Company
152,187,Avista Corporation
153,222,Pacific Northwest Generating Cooperative
154,281,Interstate Power and Light Company
155,197,"Yadkin, Inc."
156,250,New York Independent System Operator
157,208,W.F. Wyman Unit No. 4 Composite Data 100%
158,212,BeeBee Island Corporation
159,155,San Diego Gas & Electric Company
160,296,Southern Maryland Electric Cooperative
161,86,"Long Sault, Inc."
162,147,Public Service Company of New Mexico
163,103,Montana-Dakota Utilities Company
164,204,"New Hampshire Electric Cooperative, Inc."
165,7,Arizona Public Service Company
166,184,"Vermont Electric Transmission Company, Inc."
167,203,"East Texas Electric Cooperative, Inc."
168,127,Ohio Power Company
169,64,Hardee Power Partners Limited
170,194,Wisconsin Power and Light Company
171,449,"EAM Nelson Holding, LLC"
172,258,"American Transmission Systems, Incorporated"
173,132,Otter Tail Power Company
174,299,TransCanada Hydro NorthEast Inc.
175,305,"EWO Marketing, LLC"
176,314,"Path West Virginia Transmission Company, L.L.C."
177,292,"Cross Sound Cable Company, LLC"
178,293,GRIDAMERICA LLC
179,445,SU FERC L.L.C
180,166,Southwestern Public Service Company
181,116,Newport Electric Corporation
182,246,"Washington Electric Cooperative, Inc."
183,300,"Hawaii Electric Light Company, Inc."
184,513,"4C Acquisition, LLC"
185,254,"Alfalfa Electric Cooperative, Inc."
186,420,"Oregon Trail Electric Consumers Coop, Inc."
187,198,Yankee Atomic Electric Company
188,65,"Hawaiian Electric Company, Inc."
189,140,Pioneer Power and Light Company
190,410,Idaho County Light & Power Coop. Assoc. Inc.
191,240,California Power Exchange Corporation
192,195,Wisconsin Public Service Corporation
193,424,Somerset Rural Electric Cooperative Inc.
194,310,Pinnacle West Marketing & Trading Co. LLC
195,128,Ohio Valley Electric Corporation
196,35,UNITIL Power Corp.
197,295,"DATC Path 15, LLC"
198,400,Access Energy Cooperative
199,443,Ameren Illinois Company
200,196,Wisconsin River Power Company
201,153,Safe Harbor Water Power Corporation
202,129,Old Dominion Electric Cooperative
203,115,New York State Electric & Gas Corporation
204,131,"Orange and Rockland Utilities, Inc"
205,283,Talbot EMC
206,168,Susquehanna Electric Company
207,19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION
208,85,National Grid Generation LLC
209,205,Oconto Electric Cooperative
210,431,"Salmon River Electric Cooperative, Inc."
211,24,AEP Texas Central Company
212,108,"Nevada Power Company, d/b/a NV Energy"
213,318,"Startrans IO, LLC"
214,9,Atlantic City Electric Company
215,245,"Buckeye Power, Inc."
216,158,"South Beloit Water, Gas and Electric Company"
217,164,Southwestern Electric Power Company
218,444,Ameren Transmission Company of Illinois
219,215,"Newcorp Resources Electric Cooperative, Inc."
220,66,Holyoke Power and Electric Company
221,156,Savannah Electric and Power Company
222,311,Trans-Allegheny Interstate Line Company
223,447,"PJM Settlement, Inc."
224,51,The Empire District Electric Company
225,442,"AEP Oklahoma Transmission Company, Inc."
226,14,Boston Edison Company
227,260,Northeast Generation Company
228,48,Edison Sault Electric Company
229,287,Chattahoochee EMC
230,74,Indianapolis Power & Light Company
231,224,Village of Morrisville Water and Light Department
232,69,IES Utilities Inc.
233,409,Harney Electric Cooperative
234,313,"Path Allegheny Transmission Company, LLC"
235,999,{Test Company - A}
236,152,Rockland Electric Company
237,221,"Soyland Power Cooperative, Inc"
238,59,Liberty Utilities (Granite State Electric) Corp.
239,190,Western Massachusetts Electric Company
240,56,Florida Power & Light Company
241,70,Idaho Power Company
242,133,PACIFIC GAS AND ELECTRIC COMPANY
243,57,Georgia Power Company
244,265,"Northern Maine Independent System Administrator, Inc"
245,82,Kentucky Utilities Company
246,4,Alcoa Generating Corporation
247,77,Jersey Central Power & Light Company
248,37,Connecticut Valley Electric Company Inc.
249,159,South Carolina Electric & Gas Company
250,3,Alaska Electric Light and Power Company
251,130,Oklahoma Gas and Electric Company
252,39,"Connecticut Light and Power Company, The"
253,182,KCP&L Greater Missouri Operations Company
254,435,"New Hampshire Transmission, LLC"
255,169,"System Energy Resources, Inc."
256,304,Pinnacle West Capital Corporation
257,107,The Narragansett Electric Company
258,150,"Puget Sound Energy, Inc."
259,277,The Walton E.M.C.
260,58,"Golden Spread Electric Cooperative, Inc."
261,53,Exeter & Hampton Electric Company
262,113,New England Power Company
263,200,AROOSTOOK VALLEY ELECTRIC COMPANY
264,241,"Dixie-Escalante Rural Electric Association, Inc."
265,214,Moreau Manufacturing
266,275,American Transmission Company LLC
267,80,Kansas Gas and Electric Company
268,317,"Southeast Chicago Energy Project, LLC"
269,120,Northern States Power Company (Minnesota)
270,438,"AEP Ohio Transmission Company, Inc."
271,179,The United Illuminating Company
272,193,Wisconsin Electric Power Company
273,998,{Test Company - B1}
274,119,Northern Indiana Public Service Company
275,98,"ALLETE, Inc."
276,206,Peoples Electric Cooperative
277,121,Northern States Power Company (Wisconsin)
278,31,Columbus Southern Power Company
279,25,Central Vermont Public Service Corporation
280,160,"South Carolina Generating Company, Inc."
281,428,"UGI Utilities, Inc."
282,170,Tampa Electric Company
283,199,York Haven Power Company
284,238,The Morenci Water & Electric Company
285,230,"Hermiston Generating Company, L.P."
286,60,Great Bay Power Corporation
287,403,"Cheyenne Light, Fuel and Power Company"
288,139,"Pepperell Power Association, Limited Partnership"
289,450,"RITELine Illinois, LLC"
290,143,Potomac Electric Power Company
291,228,Inland Power & Light Company
292,142,THE POTOMAC EDISON COMPANY
293,454,"Entergy Louisiana, LLC"
294,21,Central Illinois Public Service Company
295,33,"Commonwealth Edison Company of Indiana, Inc."
296,42,The Dayton Power and Light Company
297,111,"New England Hydro-Trans. Elec. Co., Inc."
298,227,"Wolverine Power Supply Cooperative, Inc."
299,448,"Verde Energy USA, Inc."
300,290,"Unitil Energy Systems, Inc."
301,75,Interstate Power Company
302,87,EL Investment Company
303,439,"AEP Kentucky Transmission Company, Inc."
304,272,PSEG Energy Resources & Trade LLC
305,225,Valley Electric Association Inc.
306,412,Lyon Rural Electric Cooperative
307,423,"{Test 423 (do not use) Sharyland Utilities, L.P.)}"
308,1,AEP Generating Company
309,229,California Independent System Operator Corporation
310,307,"Warren Power, LLC"
311,322,South Central MCN LLC
312,93,Massachusetts Electric Company
313,404,Hagerstown Light Department
314,40,Consolidated Water Power Company
315,61,Green Mountain Power Corp
316,137,Pennsylvania Power Company
317,189,AEP Texas North Company
318,264,Wells Rural Electric Company
319,289,International Transmission Company
320,259,Platte-Clay Electric Cooperative Inc.
321,188,WEST PENN POWER COMPANY
322,68,"CenterPoint Energy Houston Electric, LLC"
323,47,Eastern Edison Company
324,105,Mt. Carmel Public Utility Co
325,41,Consumers Energy Company
326,455,ITC Interconnection LLC
327,269,Golden State Water Company
328,102,"Montana Power Company, The"
329,148,Public Service Company of Oklahoma
330,73,Indiana Michigan Power Company
331,421,Penoyer Valley Electric Company
332,18,Catalyst Old River Hydroelectric Limited Partnership
333,84,Lockhart Power Company
334,201,Big Rivers Electric Corporation
335,89,Madison Gas and Electric Company
336,512,"Transource West Virginia, LLC"
337,2,ALABAMA POWER COMPANY
338,20,Central Illinois Light Company
339,176,Tucson Electric Power Company
340,136,Pennsylvania Electric Company
341,213,Midwest Energy Inc.
342,284,Citizens Electric Corporation
343,406,"Fall River Electric Cooperative, Inc"
344,8,"Entergy Arkansas, Inc."
345,92,Maine Yankee Atomic Power Company
346,186,VIRGINIA ELECTRIC AND POWER COMPANY
347,407,"Florida Keys Electric Cooperative Assoc., Inc."
348,237,Trigen-Kansas City Energy Corporation
349,78,Kanawha Valley Power Company
350,161,Southern California Edison Company
351,145,Public Service Company of Colorado
352,165,TXU SESCO Company
353,303,APS Energy Services Company
354,91,Maine Public Service Company
355,94,"MAUI ELECTRIC COMPANY, LIMITED"
356,413,McDonough Power Cooperative
357,123,Northwestern Wisconsin Electric Company
358,52,"Entergy Power, LLC"
359,434,Beacon Power Corporation
360,55,"Duke Energy Florida, LLC"
361,125,"Ocean State Power, II"
362,451,Smoky Mountain Transmission LLC
363,110,New England Electric Transmission Corporation
364,271,PSEG Nuclear LLC
365,174,Texas-New Mexico Power Company
366,256,"North Central Missouri Electric Cooperative, Inc."
367,440,"AEP Indiana Michigan Transmission Company, Inc."
