year_index,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06
capacity_mw,,,,,,,,,,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw,nameplate_capacity_mw
summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw,net_summer_capacity_mw
winter_capacity_mw,,,,,,,,,,,,,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw,net_winter_capacity_mw
operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month,operating_month
operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year,operating_year
energy_source_code_1,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code,energy_source_code
sector_name,sector_name,sector_name,sector_name,sector_name,sector_name,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector,sector
planned_net_summer_capacity_uprate_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw,planned_uprate_of_summer_capacity_mw
planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month,planned_uprate_month
planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year,planned_uprate_year
planned_net_summer_capacity_derate_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw,planned_derate_of_summer_capacity_mw
