respondent_id,utility_services_name,entity_id,parent_name,utility_id_ferc1,utility_id_pudl
11,"Progress Energy Service Company, LLC",,"duke energy ohio, inc.",172,96
11,"Progress Energy Service Company, LLC",,"duke energy carolinas, llc",170,90
11,"Progress Energy Service Company, LLC",,florida power corp,,
11,"Progress Energy Service Company, LLC",,"duke energy florida, inc.",161,91
11,"Progress Energy Service Company, LLC",,"duke energy indiana, inc.",169,92
12,,,cnh industrial n.v.,,
12,,,american international group inc,,
13,"Dominion Energy Services, Inc.",C011212,virginia electric & power co,164,349
13,"Dominion Energy Services, Inc.",C011212,dominion resources inc /va/,,6816
13,"Dominion Energy Services, Inc.",C011212,dominion resources inc /va/,,13210
13,"Dominion Energy Services, Inc.",C011212,dominion resources inc /va/,,13211
13,"Dominion Energy Services, Inc.",C011212,"dominion energy, inc",,6484
14,"Exelon Business Services Company, LLC",C011456,exelon corp,,13222
14,"Exelon Business Services Company, LLC",C011456,exelon corp,,15631
14,"Exelon Business Services Company, LLC",C011456,pepco holdings llc,,
14,"Exelon Business Services Company, LLC",C011456,exelon generation co llc,,12701
14,"Exelon Business Services Company, LLC",C011456,commonwealth edison co,165,72
14,"Exelon Business Services Company, LLC",C011456,delmarva power & light co /de/,291,84
14,"Exelon Business Services Company, LLC",C011456,peco energy co,167,249
14,"Exelon Business Services Company, LLC",C011456,potomac electric power co,290,264
14,"Exelon Business Services Company, LLC",C011456,atlantic city electric co,292,33
14,"Exelon Business Services Company, LLC",C011456,baltimore gas & electric co,248,36
15,KeySpan Corporate Services LLC,,keyspan corp,,
16,KeySpan Utility Services LLC,,keyspan corp,,
17,"KeySpan Engineering & Survey, Inc",C011361,keyspan corp,,
17,"National Grid Engineering & Survey, Inc.",C011361,,,
18,LG&E and KU Services Company,C011363,,,
19,"Southern Company Services, Inc.",C011490,,,
20,NiSource Corporate Services Company,C011492,nisource inc/de,,
20,NiSource Corporate Services Company,C011492,nisource inc.,,
21,"Alliant Energy Corporate Services, Inc.",C000690,,,
22,"Duke Energy Business Services, LLC.",C011430,progress energy inc,,
22,"Duke Energy Business Services, LLC.",C011430,duke energy corp,,
22,"Duke Energy Business Services, LLC.",C011430,"duke energy progress, inc.",160,97
22,"Duke Energy Business Services, LLC.",C011430,"duke energy progress, llc.",160,97
22,"Duke Energy Business Services, LLC.",C011430,"duke energy ohio, inc.",172,96
22,"Duke Energy Business Services, LLC.",C011430,"duke energy carolinas, llc",170,90
22,"Duke Energy Business Services, LLC.",C011430,florida power corp,,
22,"Duke Energy Business Services, LLC.",C011430,"duke energy florida, inc.",161,91
22,"Duke Energy Business Services, LLC.",C011430,"duke energy florida, llc.",161,91
22,"Duke Energy Business Services, LLC.",C011430,piedmont natural gas co inc,,
22,"Duke Energy Business Services, LLC.",C011430,"duke energy indiana, inc.",169,92
22,"Duke Energy Business Services, LLC.",C011430,"duke energy indiana, llc",169,92
23,Eversource Energy Service Company,C004556,western massachusetts electric co,245,360
23,Eversource Energy Service Company,C004556,nstar electric co,271,230
23,Eversource Energy Service Company,C004556,connecticut light & power co,,75
23,Eversource Energy Service Company,C004556,public service co of new hampshire,244,273
23,Eversource Energy Service Company,C004556,eversource energy,,13966
24,PHI Service Company,C011457,exelon corp,,13222
24,PHI Service Company,C011457,exelon corp,,15631
24,PHI Service Company,C011457,pepco holdings llc,,
24,PHI Service Company,C011457,pepco holdings inc,,
24,PHI Service Company,C011457,exelon generation co llc,,12701
24,PHI Service Company,C011457,commonwealth edison co,165,72
24,PHI Service Company,C011457,delmarva power & light co /de/,291,84
24,PHI Service Company,C011457,peco energy co,167,249
24,PHI Service Company,C011457,potomac electric power co,290,264
24,PHI Service Company,C011457,atlantic city electric co,292,33
24,PHI Service Company,C011457,baltimore gas & electric co,248,36
25,Allegheny Energy Service Corporation,C011465,,,
26,"Black Hills Service Company, LLC",C011022,black hills corp /sd/,309,43
27,Avangrid Service Company,C011379,,,
28,Energy East Management Corporation,,energy east corp,,
28,Energy East Management Corporation,,central maine power co,212,58
28,Energy East Management Corporation,,new york state electric & gas corp,215,213
28,Energy East Management Corporation,,rochester gas & electric corp,214,280
29,American Electric Power Service Corporation,C000140,"aep transmission company, llc",,
29,American Electric Power Service Corporation,C000140,aep texas inc.,372,5514
29,American Electric Power Service Corporation,C000140,american electric power co inc,,6785
29,American Electric Power Service Corporation,C000140,american electric power co inc,,9407
29,American Electric Power Service Corporation,C000140,indiana michigan power co,201,144
29,American Electric Power Service Corporation,C000140,appalachian power co,200,29
29,American Electric Power Service Corporation,C000140,ohio power co,204,235
29,American Electric Power Service Corporation,C000140,public service co of oklahoma,205,275
29,American Electric Power Service Corporation,C000140,southwestern electric power co,206,301
30,Unitil Service Corporation,C011408,unitil corp,,
31,FirstEnergy Service Company,C011466,firstenergy corp,,10310
31,FirstEnergy Service Company,C011466,firstenergy solutions corp.,,
31,FirstEnergy Service Company,C011466,cleveland electric illuminating co,,
31,FirstEnergy Service Company,C011466,toledo edison co,,
31,FirstEnergy Service Company,C011466,jersey central power & light co,173,156
31,FirstEnergy Service Company,C011466,metropolitan edison co,179,180
31,FirstEnergy Service Company,C011466,ohio edison co,174,234
31,FirstEnergy Service Company,C011466,pennsylvania electric co,178,250
31,FirstEnergy Service Company,C011466,pennsylvania power co,177,251
32,"Evergy Services, Inc.",C010606,,,
33,National Grid USA Service Company Inc.,C011360,,,
34,PNMR Services Company,C001218,,,
35,NiSource Gas Transmission and Storage Co.,,nisource inc/de,,
36,WEC Business Services LLC,C011106,"wec energy group, inc.",,15663
37,"Black Hills Utility Holdings, Inc.",,black hills corp /sd/,309,43
38,"CenterPoint Energy Service Company, LLC",C011498,,,
39,PPL Services Corporation,C011434,,,
40,NSTAR Electric & Gas Corporation,,nstar/ma,,
40,NSTAR Electric & Gas Corporation,,western massachusetts electric co,245,360
40,NSTAR Electric & Gas Corporation,,nstar electric co,271,230
40,NSTAR Electric & Gas Corporation,,connecticut light & power co,,75
40,NSTAR Electric & Gas Corporation,,public service co of new hampshire,244,273
40,NSTAR Electric & Gas Corporation,,northeast utilities,,11241
40,NSTAR Electric & Gas Corporation,,northeast utilities,,12454
41,Liberty Energy Utilities (New Hampshire) Corp.,C011507,,,
42,Liberty Utilities (Canada) Corporation,C011554,,,
43,Algonquin Power & Utilities Corp,C011553,,,
44,Columbia Pipeline Group Service Company,C011495,,,
45,Liberty Utilities Service Corporation,C011555,,,
46,"AES US Services, LLC",C011210,aes corp,,9356
46,"AES US Services, LLC",C011210,aes corp,,11551
46,"AES US Services, LLC",C011210,aes corp,,11552
46,"AES US Services, LLC",C011210,aes corp,,11553
47,"TECO Services, Inc.",,teco energy inc,,12805
47,"TECO Services, Inc.",,tampa electric co,157,313
48,PPL EU Services Corporation,C011433,,,
49,"GridLiance Management, LLC",C011375,,,
50,ATC Management Inc.,C011112,wisconsin electric power co,280,363
50,ATC Management Inc.,C011112,wisconsin public service corp,187,365
50,ATC Management Inc.,C011112,wisconsin energy corp,,
50,ATC Management Inc.,C011112,"wec energy group, inc.",,15663
50,ATC Management Inc.,C011112,wps resources corp,,
50,ATC Management Inc.,C011112,"integrys energy group, inc.",,
51,"Sempra LNG, LLC ",C011443,,,
52,"Sempra North American Infrastructure, LLC",,,,
53,Sempra Services Corporation,C011442,,,
54,"Onward Energy Management, LLC",C011570,,,
